étoile,commentaire
2,"Je fais du 36, j'ai le pied fin, mais j'ai pris une taille au-dessus en voyant les commentaires dire qu'elles taillaient petit. Et bien le 37 est trop petit, mais BEAUCOUP trop petit. Le pied gauche est compressé comme jamais et le droit ne rentre même pas. On voit même à l'œil nu que ""l'entrée"" de la claquette droite est plus étroit. Honnêtement je trouve ça vraiment de très mauvaise qualité."
2,"Ces claquettes sont très confortables, soupes et légères.Point d’attention: cette matière réagit à  l’humidité même à la transpiration et adhère à la peau (très désagréable) Donc à déconseiller en milieu humide. Ne convient pas pour la piscine ou pour marcher dans l’eau car ces claquettes absorbent l’eau et sèchent difficilement.Au bout du compte ce produit n’est pas du tout polyvalent."
1,c'est vraiment dommage c'est une très belle chaussure mais malheureusement trop petite encore une fois pour moi le haut du pied ça fait maintenant là 3e père que je commande et toujours de même défaut là je viens de commander une autre paire d'une autre marque et ils me vont très bien ce n'est pas fait pour des grands pieds
3,Taille petit ! Pour des claquettes j’ai pris du 39 car la dernière foi que j’ai pris du 40 c’etais trop grand ... ben là pour le coup j’aurais du prendre du 40 car le 39 et TRÈS petit
5,"claquette adidas je chausse du 42, au début, dure à enfiler car très très raideau fil du temps, elles s'adaptent. j'aime la semelle qui ne fait pas claquette de piscine.ne convient pas aux personnes qui ont le pied large, à noter"
5,"Ces sandales ou claquettes de sport de marque Adidas sont vraiment adaptées pour de multiples usages, piscine, Gym, foot,etc.. confortable et efficace avec un rapport qualité prix excellent !! je conseille de prendre une pointure au dessus de l'habituelle..je vous les recommande à 100% satisfaction !!Bien Cordialement.David."
1,"Perso, je chausse du 42, j’ai commandé une première paire en 43 et demi, elle était trop petite, j’ai recommandé une autre paire en 44 et demi, c’est exactement pareil ! Elle fait exactement la même taille que la paire précédemment commandée !!!!!!!! Je vous les déconseille ! Et bien évidemment Amazon n’a rien voulu savoir !"
5,J'avais acheté les mêmes dans un magasin de sport pour mon mari et mon fils a voulu les mêmes.J'ai donc regardé sur Amazon et je les ai trouvé mais pas au même prix ! 15€ de moins !Et ce sont bien les mêmes !Ravie !
5,"Comme évoqué par les autres commentaires, je confirme que ça taille très petit. Je fais du 43 et j’ai dû commander du 46. Et même avec 3 tailles au dessus c’est tout juste…"
5,Ma commande a été expédiée à temps et je l'ai reçue rapidement. La pointure 33 convient parfaitement à mon garçon de 9 ans. Nous avons adoré le style. Ça à l'air bon qualité. Merci!
5,"Mules légères, confortables, la couleur est top !Elles taillent très bien (pour ceux ou celles qui veulent être à l’aise dedans prendre une pointure au dessus) mais pour moi c’est parfait 👌Si j’ai pu vous aider c’est cool 👍"
5,"Acheter pour la piscine et la balnéo, elles sont très confortable et tiennent bien, en plus d'être jolie. Taille un peu petit quand même."
4,Elles étaient très bien mais je les ai renvoyé car j'avais demandé taille 38 et j'ai reçu 37.Au niveau remboursement.Amazon + le vendeur niquel
3,Bonne fabrication mais ça taille trop trop petit....faites attentions et prenez au moins 2 tailles au dessus
