étoile,commentaire
5,Très bonne qualité et très confortable pour mon neveu
5,Mon petit-fils adore
5,"C'était excellent à tous points de vue. Taille, couleur, style et livraison super rapide ! J'aurais dû vérifier plus loin car je ne savais pas que je n'étais pas sur la livraison gratuite Amazon Prime et que j'avais payé environ 4 $ de plus pour la livraison. J'ai été facturé 52,00 $, mais le produit portait des étiquettes indiquant 48 $. Cette chemise était au-delà de mes attentes en qualité!"
5,C'est un joli sweat à capuche très doux qui est parfait pour grandir et qui est bon pour le montant d'argent pour lequel il est destiné. Mon fils a écrit cette critique qu'il approuve même s'il pensait qu'un adulte petit était trop grand
5,Je l'ai commandé pour mon fils. Il a l'air d'aimer ça. Il n'avait rien à redire.
5,"Il n’est pas assez long, mon fils est très grand. Nous avons pris large"
5,Belle qualité. Tissu doux
5,Super sweat à capuche !
4,"C'est un joli sweat. Cependant, quand il est arrivé, le prix sur le sac était de 45,00 PDSF J'ai payé 59,00 la prochaine fois, je magasinerai un peu"
5,Très confortable
4,Trop grand
5,Bonne qualité et confortable!
5,j'aime beaucoup mon pull
2,J'ai acheté ce pull il y a 3 mois. Le pull est déjà délavé. Certainement pas d'acheter à nouveau chez un revendeur.
4,convient parfaitement je recommande
5,"J'adore obtenir des vêtements d'Amazon, ils sont exactement ce qu'ils sont décrits et s'adaptent bien et doux"
2,Très petit pour un Xtra large... ça ne descend même pas jusqu'à mes hanches... problèmes de personnes de grande taille...
4,Garder au chaud
3,"Joli sweat à capuche, mais je ne pense pas que ce soit un vrai médium masculin. Un peu petit à mon avis"
5,Mon fils aime vraiment le sweat à capuche
3,L'article est venu taché de peinture blanche !!
5,Livraison rapide et grande qualité. Recommande fortement!
5,"J'ai adoré cette polaire ! C'est parfait, c'est confortable et chaud!"
5,Mon petit ami l'a aimé et tbh je regrette de l'avoir acheté pour lui que pour moi 😅 c'était cher mais bon matériel !
1,"J'ai reçu cet article et j'ai été extrêmement déçu qu'il soit complètement fané, l'étiquette de prix provient d'un produit différent car elle a un prix complètement différent et a été collée à l'étiquette de taille, les cordes ont l'air d'être mâchées et le sweat à capuche a l'air d'avoir été utilisé. et lavés plusieurs fois, c'est très contrariant que les produits ne soient même pas inspectés avant d'être envoyés."
5,Convient vraiment bien. Surtout pour le prix. Chaud et achèterait plus.
5,Trop cher.
4,Je n'ai pas aimé la façon dont il s'est estompé si rapidement mais tout le reste était ok
4,"Il manque des mailles sur l'un des cordons de serrage, mais bon quand même."
5,"très bonne qualité, je le recommande vivement, je mesure 5'3 et il taille un peu trop"
4,génial
4,"bien fait, je prendrais juste la taille."
5,Petit fils a adoré merci
5,C'est bien
5,bon ajustement
5,Offert en cadeau à mon gendre. Il a dit qu'il l'aimait beaucoup.
2,Ce serait plus confortable si la taille n'était pas fausse. J'ai toujours porté un sweat à capuche moyen / grand et celui-ci me va comme un petit
2,J'ai acheté un 2x. Ce qui me convient normalement Pas de problème. Mais si je les jette accidentellement dans la sécheuse. Ils ne conviendront pas
5,J'adore ce sweat à capuche. Un peu cher mais très sympa.
2,Je me suis affiné. Le sweat à capuche est bien plus petit que la taille que je reçois habituellement. Augmenter la taille
5,A l'air un peu court lorsqu'il est sorti de l'emballage mais s'adapte parfaitement
5,"Pour mon fils de 15 ans. Il a dit que c'était parfait, il aime les choses un peu grandes."
5,s'adapte parfaitement.belle qualité..vraiment comme ce sweat à capuche
5,Grande solution
5,👌
5,La coupe est parfaite bon sweat
5,génial!
5,PARFAIT et extrêmement confortable
5,Elle est parfaite
5,Très confortable !
5,Incroyable très confortable
3,peluches à profusion sous le pull.
2,Ma poche s'est décousue la première fois que je l'ai portée !!
1,Le produit multimédia n'a pas pu être chargé.
1,"J'en ai acheté 3 chez Costco et ils vont très bien, mais celui que j'ai acheté chez Amazon est si petit quand je lève les bras, tout mon ventre se voit !"
1,Manches trop courtes et la longueur est courte
5,"Mon fils mesure 5 pi 11 po et pèse 185 lb, avec une carrure athlétique. Le médium convient parfaitement."
5,Pantalon de jogging de grande qualité avec un ajustement parfait. Obtenir une autre paire pour mon fils comme cadeau de Noël.
5,J'aime la coupe et le fait que le pantalon bouge avec moi. Utilisez-les pour les entraînements à la salle de sport
5,bonne qualité
5,"Avec un nom de marque comme celui-ci, vous ne pouvez pas vous tromper à moins qu'il ne s'agisse évidemment de contrefaçon. Superbe, bien ajusté et TRÈS confortable"
5,"Mon fils mesure 6 pouces et 148 livres. Ils sont un peu amples au niveau des fesses, mais après un seul lavage, ils sont parfaits. Très confortable et je l'achèterai plus."
5,J'ai beaucoup aimé
5,C'est un produit parfait. Confortable et serein. Le meilleur de sa catégorie !
4,Commandez une taille en dessous
5,"Littéralement les sweats les plus confortables que j'ai jamais portés. Jetez-les, surtout à la sortie de la sécheuse et vous êtes prêt."
5,"C'était le cadeau pour un fils adolescent, il est de petite taille, pèse environ 115 livres et mesure 5'5."
4,Beau pantalon mais cher.
5,J'ai tout aimé
5,Fonctionne en taille unique
5,Confortable & stylé ! Adorer ces!
5,S'adapte et se sent incroyable 👏
5,Mon fils adore ça. Grande qualité!
5,"Matériau épais, semble solide et me garde au chaud."
5,Mon petit-fils adore ces sweats.
5,Merci
4,Commandez une taille plus petite
5,"Il était très doux et confortable, mon fils a adoré."
5,Ce ne sont que des pantalons que le petit-fils de 16 ans portera
5,Matière coton riche ! Super look.....
5,"Donc ça va par m, l , xl etc etc déteste ça. Je suis généralement de taille moyenne mais je suis content d'avoir acheté une taille plus grande car il aurait été serré après le lavage, je suis sûr que je ne pourrais pas le porter. Dans l'ensemble, un beau pantalon obtient une taille plus grande suggérée."
5,satisfait de mon produit et du service fourni.
5,Mon fils adore ça. Grande qualité!
4,"1.) La livraison est arrivée à temps, agréable et soigneusement emballée. Sans dommage.2.) Le produit correspondait à ce qui était attendu. Matériel de qualité, couleur vive. Fit description.3.) Fidèle à la taille, mais vous voudrez peut-être augmenter la taille. Ces sweats commenceront facilement à rétrécir après tant de séchages. Je lui donnerais 2 séchages avant de commencer à sentir la différence de taille. Combat pour mon petit ami, 5,11 "", mince à 185 livres."
4,Super sensation. Grande qualité. Commandez une taille en dessous si vous voulez un ajustement comme sur la photo. Im un L et un M aurait été parfait.
3,"Quand ils sont arrivés, ils avaient un trou dans l'une des poches mais je n'avais pas envie de passer par les tracas du retour, donc je n'utilise tout simplement pas la bonne poche. Ils sont confortables et d'une belle couleur, juste décevant de dépenser autant d'argent et d'obtenir un produit endommagé."
5,Parfait!
2,"La commande est arrivée très rapidement ! Le pantalon était en parfait état ! Cependant, j'ai retourné le pantalon car il y avait une étiquette MSRP de 45 $ dessus. J'ai payé &58,57 ! J'ai trouvé le même pantalon à un autre endroit pour 42,97 $ !"
5,Mon petit-fils adore ces joggings
5,Je les aime beaucoup. Je les recommanderais uniquement pour l'hiver car ils sont très épais.
5,Très joli mais très épais. Je les recommande uniquement pour l'hiver.
5,J'ai adoré
5,J'ai adoré l'épaisseur du matériau pour qu'ils ne soient pas transparents. Ils sont doux et confortables. Grande qualité. Le dimensionnement est également précis. Globalement très content de mon achat !
4,Mon fils les adorait mais ils ont beaucoup rétréci après lavage.
